log2FoldChange	padj
227819	0.0814054174316454	NA
592901	0.751443007350247	NA
101634	0.261950826333911	NA
297208	-0.00801848510228561	NA
354890	0.324382593095637	NA
92743	1.07891819947736	0.470505192799566
189485	0.261950826333911	NA
215433	-0.487829463181511	0.59205022524729
188988	0.231578679375912	NA
165623	0.694246225415837	NA
165334	-0.0750872319490298	0.971344569241611
546042	-1.89228577544991	0.223583975303577
550270	0.263638299179639	NA
351753	0.261950826333911	NA
184602	0.356442212899364	NA
167664	0.231578679375912	NA
192573	0.0663106860715196	NA
241543	0.263638299179639	NA
520917	-0.558010827213905	NA
286210	0.3619235337012	NA
583958	0.0561629638916179	NA
259261	-0.150316781553819	NA
293231	0.647537406094884	NA
305562	0.163260535825894	NA
592346	-2.75447877405156	0.0085151057741546
325232	0.843338357329959	NA
261878	-0.969157403019443	NA
588912	0.359879041413215	NA
250395	0.294010446137638	NA
386273	2.83738535101284	0.0487687267732575
191531	0.324382593095637	NA
205408	0.204581478109369	NA
289181	0.261950826333911	NA
25552	-1.63146984263038	0.410908205282035
74211	0.348047701698129	NA
102425	0.0496158141803953	0.982046093708788
210552	-1.1655349175406	0.126093678889175
205241	-0.116286803767701	NA
90487	1.03696028493312	0.0516301116032218
42492	0.149313642696645	NA
9617	0.324382593095637	NA
265597	0.231578679375912	NA
168068	0.231578679375912	NA
135410	0.261950826333911	NA
290240	0.231578679375912	NA
363076	-0.896262432914541	0.203665611712716
231565	0.0920222555850036	NA
175401	-0.330176337192676	NA
149699	0.231578679375912	NA
52759	-0.73636112103493	0.608837348117784
586290	0.231578679375912	NA
158775	0.261950826333911	NA
190310	0.448371375633349	NA
303753	0.324382593095637	NA
197476	-2.28628357692706	0.0271481338545416
148500	-0.0113984962880793	NA
333355	0.426755697184315	NA
463116	0.326070065941365	NA
142000	1.24723171484755	NA
211205	-1.1443800419278	NA
361480	-1.44249935458885	0.147690376837378
209361	0.261950826333911	NA
203708	-1.49659993212593	0.0487687267732575
184864	0.261950826333911	NA
113558	-0.926409203574187	NA
190171	0.23326615222164	NA
237188	0.356442212899364	NA
308135	-0.172620483704319	NA
289699	0.324382593095637	NA
563574	0.261950826333911	NA
539107	0.350468120773524	0.59205022524729
563572	0.243860244061723	NA
459421	0.388501832703091	NA
208415	-0.727258826100727	0.384869555053317
176225	-0.279682676639039	NA
469852	0.0906126822078283	NA
511009	0.356442212899364	NA
510817	-1.48418063053224	0.2611826963758
172962	-0.972619227483219	0.432440452498216
175537	0.295697918983366	NA
302759	-1.07788512219939	0.160162669955216
179291	0.143843221414542	NA
113333	0.654952515058871	NA
484332	0.143842214358197	NA
566899	0.356442212899364	NA
484338	-0.901057351030441	0.46776267876732
198214	0.261950826333911	NA
296409	0.238396847294559	NA
263681	-1.45783211807169	NA
365602	0.202894005263641	NA
238071	0.968281415667609	NA
303213	0.294010446137638	NA
207065	0.108779663055333	NA
299777	0.295697918983366	NA
203232	0.201206532417913	NA
112848	-0.2948057110268	0.86226909399411
335519	-0.132887084120075	NA
355912	0.294010446137638	NA
568877	0.297385391829094	NA
137197	0.49158818031871	NA
14263	0.356442212899364	NA
426785	0.356442212899364	NA
216004	0.0223550960548438	NA
242308	-0.20924169726327	NA
10189	0.324382593095637	NA
68339	0.0519566875005279	NA
33987	0.358129685745092	NA
137666	0.356442212899364	NA
511510	0.231578679375912	NA
289917	0.261950826333911	NA
529733	0.261950826333911	NA
184287	0.301181160556821	NA
174501	0.358129685745092	NA
178016	-0.449849575584072	NA
528596	0.744674922876876	NA
24546	0.466533133714749	NA
238182	0.453039970194959	NA
306330	0.354523085483941	NA
545232	0.0206622887869994	NA
170124	0.172522383997717	NA
290751	0.324382593095637	NA
426436	-0.0367041538274385	NA
302188	0.201206532417913	NA
110815	0.183778533206311	NA
524842	NA	NA
229533	0.261950826333911	NA
591118	0.294010446137638	NA
179472	0.356442212899364	NA
308426	0.356442212899364	NA
296977	-0.104787936057662	NA
554904	0.231578679375912	NA
232800	0.0493457976279185	NA
288734	0.331551388203281	NA
319455	0.216150104155379	NA
591847	0.326070065941365	NA
324163	0.231578679375912	NA
533263	0.324382593095637	NA
394980	0.201206532417913	NA
8523	0.263638299179639	NA
532939	0.324382593095637	NA
100551	0.294010446137638	NA
216862	-2.07854300225772	0.0085151057741546
526199	0.246479990707142	NA
469661	0.326070065941365	NA
541328	2.18390601182086	NA
547221	-0.560726432791649	NA
554831	0.294010446137638	NA
46867	0.1455246570391	NA
200351	0.52400453751556	NA
73875	0.23326615222164	NA
219668	0.530519260339119	NA
213762	0.0189736506699193	NA
130419	0.201206532417913	NA
223222	-0.0444901221981896	NA
145765	0.324382593095637	NA
584543	0.324382593095637	NA
244304	-0.486101053869645	0.605622808751994
577380	0.326070065941365	NA
43950	0.170834385459914	NA
573384	0.261950826333911	NA
217426	0.294010446137638	NA
178578	-0.838783923007206	0.14878225245317
585138	0.261950826333911	NA
343815	NA	NA
292859	0.140462238501915	NA
181823	-0.62367045721283	NA
92629	-0.460661582446779	NA
261912	-0.902408766386984	0.0487687267732575
352304	-0.241804074689521	0.752714876535315
358779	0.261950826333911	NA
540224	0.263638299179639	NA
107854	-0.0329139187471154	NA
581962	0.111777564389645	NA
532612	0.0830975813850866	NA
359171	2.02969232792789	0.0685331787846052
195946	0.0814084652021551	NA
230479	0.145530693458668	NA
262794	0.231578679375912	NA
174809	-0.817863234396474	0.126513491855467
204917	0.388501832703091	NA
563359	0.294010446137638	NA
337670	0.356442212899364	NA
89232	0.641929187741093	NA
301004	0.204581478109369	NA
323221	0.261950826333911	NA
253709	0	NA
73450	0.100743430707361	NA
107290	0.324382593095637	NA
165322	0.261950826333911	NA
135578	0.261950826333911	NA
191303	0.163331162427508	NA
309534	0.326070065941365	NA
208386	-0.985361145789444	0.346701340218722
297020	0.261950826333911	NA
110215	0.598821610815034	NA
2181	0	NA
16223	0.2080189942085	NA
60254	0.491577284208267	NA
51831	0.324382593095637	NA
60251	0.453039970194959	NA
101516	0.301180371475566	NA
176465	0.476030953047956	NA
2217	0.110090091543916	NA
334839	0.356442212899364	NA
165257	0.263638299179639	NA
559213	0.261950826333911	NA
191547	-0.899392179291937	0.1123201406156
270383	0.390252133568399	NA
97679	0.420624012696353	NA
195252	0.294010446137638	NA
529905	0.261950826333911	NA
49088	0.324382593095637	NA
106258	0.261950826333911	NA
107272	0.294010446137638	NA
186382	0.261950826333911	NA
300041	0.295697918983366	NA
350373	0.263638299179639	NA
204673	-0.258018488344053	NA
248140	-0.908550271047845	0.156362230583476
534516	0.324382593095637	NA
509723	0.140462238501915	NA
